x,y,z,orientation_x,orientation_y,orientation_z,orientation_w
0.007013916950462792,-2.0987294296089765,0.0,0.0,0.0,0.007292239221439954,0.9999734112700883
0.27604448726075803,-2.0851861592437984,0.0,0.0,0.0,0.007858603411320464,0.9999691206994462
0.5666263610954746,-2.0796688502046394,0.0,0.0,0.0,0.005633221090063778,0.9999841332841989
0.8287707451012972,-2.0744996299862883,0.0,0.0,0.0,0.0018153958270922393,0.9999983521676378
1.0590799590161715,-2.07372494423158,0.0,0.0,0.0,0.007836815662962307,0.9999692916886321
1.3272430812655633,-2.067344853761629,0.0,0.0,0.0,0.013106346249937213,0.9999141081552839
1.5714279439132959,-2.0394876365577677,0.0,0.0,0.0,0.05114998524666572,0.9986909827415414
1.85062936364672,-2.0111578175761853,0.0,0.0,0.0,0.04768917115958502,0.998862224210182
2.08520014461014,-1.9844406816748852,0.0,0.0,0.0,0.06014065152306066,0.9981899128093721
2.3300538532330335,-1.9371237715645293,0.0,0.0,0.0,0.075541540025248,0.9971426556569596
2.561177004752377,-1.9133662482516975,0.0,0.0,0.0,0.06155467407838572,0.9981037130975436
2.8271366825208513,-1.8783274544908852,0.0,0.0,0.0,0.06388839311449432,0.9979570497898433
3.11197197648297,-1.8229121101645807,0.0,0.0,0.0,0.09367418595819155,0.9956029062257051
3.383846774010277,-1.761152283109618,0.0,0.0,0.0,0.1176834443922474,0.9930511602712001
3.6368884154457213,-1.699587418299662,0.0,0.0,0.0,0.1149893396362682,0.9933667257211785
3.8977465610612225,-1.637613088326998,0.0,0.0,0.0,0.11296761104494712,0.9935986709204061
4.1896936611434406,-1.5715912637837264,0.0,0.0,0.0,0.13587096168485416,0.9907265423772762
4.4256363295525665,-1.4815192840660356,0.0,0.0,0.0,0.16852046511162133,0.9856981550345739
4.669936892533273,-1.3875781544232018,0.0,0.0,0.0,0.19450063395381775,0.9809023923875214
4.9266671846753525,-1.2340517503051505,0.0,0.0,0.0,0.24604956310937626,0.9692572478417095
5.196056730101661,-1.1018032202117511,0.0,0.0,0.0,0.23046904462407464,0.973079657309753
5.463952941811048,-0.9705241814805261,0.0,0.0,0.0,0.22922235957500717,0.973374085267769
5.718699979211934,-0.836659863272543,0.0,0.0,0.0,0.23526284769765302,0.9719317838681844
5.984874208569924,-0.6956807811191227,0.0,0.0,0.0,0.22919323796831564,0.973380942729823
6.264931178731768,-0.5615325943895657,0.0,0.0,0.0,0.22519239254187812,0.9743143159890779
6.54174443449396,-0.4149705414593556,0.0,0.0,0.0,0.2259379902229583,0.9741416860878146
6.7696772578817175,-0.27149354579860907,0.0,0.0,0.0,0.2771365770904797,0.9608305353383461
7.036190519059208,-0.10017658955611429,0.0,0.0,0.0,0.2790746418964242,0.9602694123267608
7.290730872197859,0.05089667271110051,0.0,0.0,0.0,0.2747358198422362,0.9615197498208835
7.533865920478798,0.20343333718552692,0.0,0.0,0.0,0.2534024044096818,0.9673609571609721
7.761789893687868,0.34865571007070073,0.0,0.0,0.0,0.2803521597807652,0.9598972166363753
8.057718155091445,0.5268856615673979,0.0,0.0,0.0,0.2552013304587103,0.9668879360774464
8.346802524418909,0.7177231580808593,0.0,0.0,0.0,0.2846193816124579,0.9586406039859474
8.619162448131231,0.9254277394161065,0.0,0.0,0.0,0.316728544667297,0.948516224949756
8.843287718860058,1.06827065294149,0.0,0.0,0.0,0.27441041347938216,0.9616126688922492
9.102055103297197,1.184152204428918,0.0,0.0,0.0,0.21400886708272807,0.9768317177538653
9.355699230306971,1.2505904132800894,0.0,0.0,0.0,0.155896398200137,0.9877734117844155
9.633340985987287,1.3036860806300945,0.0,0.0,0.0,0.0977493716698659,0.99521106321129
9.919477094626329,1.3717511282406034,0.0,0.0,0.0,0.11997568281683435,0.9927768306787957
10.21100491748769,1.4970883968563802,0.0,0.0,0.0,0.1763077951442888,0.9843350859190987
10.478376803178353,1.635269442904955,0.0,0.0,0.0,0.23922221874702115,0.9709648449134255
10.759321392457979,1.7913604269490473,0.0,0.0,0.0,0.24234891645306544,0.9701891582026801
11.033940911425107,1.9397434805580445,0.0,0.0,0.0,0.24322729463501017,0.9699693207233587
11.251884518766085,2.092895930018119,0.0,0.0,0.0,0.30105742428511156,0.9536060126083593
11.504194911867177,2.3463011394264495,0.0,0.0,0.0,0.38269389026321904,0.9238752006387028
11.643511005543994,2.561883987892488,0.0,0.0,0.0,0.44066913167139493,0.8976696031346827
11.792921765000974,2.835739386658688,0.0,0.0,0.0,0.5033196553941716,0.8641002977050132
11.925326513067349,3.095394683945203,0.0,0.0,0.0,0.49234830454095846,0.8703982691938464
12.132001483089601,3.3514542329872974,0.0,0.0,0.0,0.43544632936495237,0.9002146934162925
12.399353234320328,3.60310696736741,0.0,0.0,0.0,0.365758896945959,0.9307096374836114
12.657870893153536,3.7975059252513805,0.0,0.0,0.0,0.3077355127459563,0.9514719408342966
12.904658616649138,3.9164388486558845,0.0,0.0,0.0,0.2319493692682666,0.9727278602446078
13.1362278766171,3.9833996657859068,0.0,0.0,0.0,0.17006894900235836,0.9854321653900046
13.438517824847724,4.057324343538455,0.0,0.0,0.0,0.10924954961290793,0.9940143539755232
13.742603716541838,4.130618293889537,0.0,0.0,0.0,0.08900849720124512,0.996030866703425
14.055134895506912,4.2143175568700855,0.0,0.0,0.0,0.08175734123316374,0.9966522649121328
14.392470014902198,4.31297019773843,0.0,0.0,0.0,0.09169112456895467,0.9957874962436918
14.726619816147249,4.4164784000948645,0.0,0.0,0.0,0.07965760888643716,0.9968222837329106
